Genero ;Genera_timediv;Log_body_size ;log_lengthsize;Species_richness;log_speciesrich
Aculeola ;NA;NA;4.094344562;1;0
Aetobatus ;370;7.176942769;5.029129877;4;1.386294361
Alopias ;60.2;6.505761582;6.276643489;3;1.098612289
Amblyraja ;NA;8.266398109;4.537961436;10;2.302585093
Anoxypristis ;NA;1.008113212;6.152732695;1;0
Apristurus ;NA;2.942809872;4.218036035;39;3.663561646
Aptychotrema;NA;NA;4.494238625;4;1.386294361
Arhynchobatis ;NA;NA;4.317488114;1;0
Asymbolus ;0.33;NA;4.001863709;9;2.197224577
Atelomycterus ;110;NA;3.957951937;6;1.791759469
Atlantoraja ;NA;NA;4.658236907;3;1.098612289
Aulohalaelurus ;118;NA;4.290459441;2;0.693147181
Bathyraja ;NA;6.294790403;4.702296897;3;1.098612289
Benthobatis ;NA;NA;3.401197382;4;1.386294361
Brachaelurus ;293;NA;4.59511985;2;0.693147181
Brochiraja ;NA;NA;3.908014984;8;2.079441542
Callorhinchus ;NA;NA;5.443715569;3;1.098612289
Carcharhinus ;1.2;6.457230394;5.443715569;35;3.555348061
Carcharias ;NA;6.176371144;5.799092654;2;0.693147181
Carcharodon;108.5;NA;6.293419279;1;0
Cetorhinus ;52.1;8.399410156;6.802394763;1;0
Centrophorus ;NA;2.79143181;4.991792206;14;2.63905733
Centroscyllium ;NA;NA;4.046553898;7;1.945910149
Centroscymnus ;NA;NA;4.736198448;5;1.609437912
Centroselachus ;NA;NA;4.65396035;1;0
Cephaloscyllium ;240;NA;4.483341478;17;2.833213344
Chaenogaleus ;NA;NA;4.605170186;1;0
Carcharodon ;NA;NA;6.293419279;1;0
Chiloscyllium ;NA;NA;4.396915247;8;2.079441542
Chimaera ;NA;3.002152841;4.821893169;19;2.944438979
Chlamydoselachus ;NA;NA;5.298317367;2;0.693147181
Cirrhigaleus ;NA;NA;4.812184355;3;1.098612289
Cruriraja ;NA;NA;4.036008985;8;2.079441542
