Scientific_name;Genera_timediv;Log_body_size ;log_lengthsize;Species_richness;log_speciesrich
Aculeola nigra;NA;NA;4.094344562;1.00;1.00
Aetobatus ocellatus;370.33;7.176942769;5.029129877;4.00;1.39
Alopias vulpinus;60.2;6.505761582;6.276643489;3.00;1.098612289
Alopias pelagicus;60.2;6.505761582;6.276643489;3.00;1.098612289
Alopias superciliosus;60.2;6.505761582;6.276643489;3.00;1.098612289
Amblyraja taaf;NA;8.266398109;4.537961436;10.00;2.302585093
Amblyraja badia;NA;8.266398109;4.537961436;10.00;2.302585093
Amblyraja hyperborea;NA;8.266398109;4.537961436;10.00;2.302585093
Amblyraja jenseni;NA;8.266398109;4.537961436;10.00;2.302585093
Amblyraja georgiana;NA;8.266398109;4.537961436;10.00;2.302585093
Amblyraja radiata;NA;8.266398109;4.537961436;10.00;2.302585093
Anoxypristis cuspidata;NA;1.008113212;6.152732695;1.00;0
Apristurus manis;NA;2.942809872;4.218036035;39.00;3.663561646
Apristurus microps;NA;2.942809872;4.218036035;39.00;3.663561646
Apristurus ampliceps;NA;2.942809872;4.218036035;39.00;3.663561646
Apristurus albisoma;NA;2.942809872;4.218036035;39.00;3.663561646
Apristurus profundorum;NA;2.942809872;4.218036035;39.00;3.663561646
Apristurus pinguis;NA;2.942809872;4.218036035;39.00;3.663561646
Apristurus fedorovi;NA;2.942809872;4.218036035;39.00;3.663561646
Apristurus kampae;NA;2.942809872;4.218036035;39.00;3.663561646
Apristurus longicephalus;NA;2.942809872;4.218036035;39.00;3.663561646
Apristurus australis;NA;2.942809872;4.218036035;39.00;3.663561646
Apristurus sinensis;NA;2.942809872;4.218036035;39.00;3.663561646
Apristurus platyrhynchus;NA;2.942809872;4.218036035;39.00;3.663561646
Apristurus melanoasper;NA;2.942809872;4.218036035;39.00;3.663561646
Apristurus laurussonii;NA;2.942809872;4.218036035;39.00;3.663561646
Apristurus brunneus;NA;2.942809872;4.218036035;39.00;3.663561646
Apristurus japonicus;NA;2.942809872;4.218036035;39.00;3.663561646
Apristurus exsanguis;NA;2.942809872;4.218036035;39.00;3.663561646
Aptychotrema vincentiana;NA;NA;4.494238625;4.00;1.386294361
Aptychotrema rostrata;NA;NA;4.494238625;4.00;1.386294361
Arhynchobatis asperrimus;NA;NA;4.317488114;1.00;0
Asymbolus rubiginosus;0.33;NA;4.001863709;9.00;2.197224577
Asymbolus parvus;0.33;NA;4.001863709;9.00;2.197224577
Asymbolus analis;0.33;NA;4.001863709;9.00;2.197224577
